0	0
500	25
1000	23
1500	26
2000	20
2500	13
3000	22
3500	23
4000	24
4500	20
5000	25
5500	19
6000	20
6500	21
7000	20
7500	25
8000	16
8500	18
9000	20
9500	30
10000	17
10500	27
11000	19
11500	23
12000	20
12500	20
13000	18
13500	23
14000	18
14500	25
15000	23
15500	21
16000	19
16500	20
17000	17
17500	20
18000	15
18500	19
19000	23
19500	16
20000	20
20500	25
21000	22
21500	15
22000	27
22500	22
23000	23
23500	26
24000	13
24500	13
25000	24
25500	22
26000	21
26500	19
27000	11
27500	16
28000	21
28500	23
29000	19
29500	17
30000	24
30500	22
31000	13
31500	23
32000	22
32500	29
33000	21
33500	22
34000	19
34500	20
35000	25
35500	21
36000	18
36500	18
37000	19
37500	15
38000	21
38500	25
39000	17
39500	21
40000	19
40500	22
41000	17
41500	20
42000	21
42500	25
43000	21
43500	19
44000	19
44500	26
45000	23
45500	23
46000	22
46500	15
47000	16
47500	31
48000	21
48500	13
49000	15
49500	19
50000	15
50500	11
51000	19
51500	20
52000	22
52500	22
53000	14
53500	21
54000	23
54500	16
55000	22
55500	24
56000	24
56500	14
57000	15
57500	18
58000	12
58500	19
59000	26
59500	25
60000	22
60500	20
61000	20
61500	16
62000	20
62500	17
63000	24
63500	25
64000	23
64500	333
65000	21
65500	21
66000	19
66500	28
67000	15
67500	27
68000	23
68500	13
69000	18
69500	14
70000	13
70500	18
71000	20
71500	15
72000	16
72500	31
73000	17
73500	22
74000	21
74500	23
75000	18
75500	20
76000	15
76500	18
77000	24
77500	18
78000	19
78500	23
79000	16
79500	28
80000	28
80500	16
81000	14
81500	28
82000	17
82500	23
83000	17
83500	20
84000	24
84500	18
85000	14
85500	15
86000	25
86500	19
87000	25
87500	20
88000	20
88500	19
89000	15
89500	15
90000	19
90500	16
91000	20
91500	16
92000	15
92500	24
93000	21
93500	25
94000	19
94500	28
95000	23
95500	24
96000	19
96500	16
97000	22
97500	22
98000	30
98500	24
99000	22
99500	22
100000	18
100500	18
101000	16
101500	23
102000	21
102500	27
103000	18
103500	11
104000	21
104500	22
105000	23
105500	20
106000	16
106500	22
107000	19
107500	28
108000	21
108500	19
109000	19
109500	26
110000	17
110500	22
111000	16
111500	16
112000	16
112500	12
113000	22
113500	14
114000	23
114500	14
115000	27
115500	28
116000	15
116500	20
117000	15
117500	23
118000	17
118500	23
119000	21
119500	24
120000	16
